id,host_id,latitude,longitude,first_review,last_review,calculated_host_listings_count,availability_365
10003583,10188062,39.870076623246973,3.0145546604629807,1463176800,1463176800,128,65
11669169,60931367,39.897422909576846,3.0169930341743147,1469484000,1471298400,1,188
15800147,86048157,39.873277095076524,3.0392007717895915,0,0,110,8
3295648,5460753,39.871691781749647,3.0293224795616389,1414450800,1414450800,112,71
7212014,14399628,39.863520082606243,2.9735696658049977,1439589600,1470002400,20,246
2492673,810819,39.886367986874035,3.0388622445360931,0,0,11,365
12978371,71444219,39.882685516160173,3.0146775883128303,1468706400,1475186400,1,304
16484525,23799617,39.8980620661874,3.0784575857952379,0,0,26,348
11168789,22339172,39.866811258046312,3.0138589866876697,0,0,2,189
5310554,27510828,39.912639558371474,3.0774279132364049,1467324000,1471039200,6,286
9639607,4938655,39.912120211017324,3.087220545550784,1465596000,1476482400,10,210
15871707,5460753,39.868300478322979,3.0429462241606986,0,0,112,100
13241650,32610775,39.90068639489435,3.0761555264003211,1466978400,1473544800,1,310
10532514,49977975,39.866511335197309,3.0742719388064068,0,0,19,214
4609713,5889880,39.881453305536311,3.0135577953361863,1445119200,1445119200,13,249
1083384,5859471,39.900049947520706,3.0639889705533383,0,0,11,140
1083376,5859471,39.900503493736046,3.0701992616061893,1461362400,1475877600,11,156
1083358,5859471,39.877854273083209,3.068714510033256,1433628000,1467410400,11,128
7505842,39321043,39.905138153229167,3.0741950457784424,1438466400,1474927200,2,277
622917,3081169,39.878737350414092,3.0141598288607181,1371938400,1478386800,2,311
2328467,5558099,39.896735915204076,3.0278456656768733,1441404000,1468706400,129,310
4851589,24961059,39.911851311919925,3.0956765885891335,1435183200,1435183200,4,261
5408613,7212250,39.892920341159289,3.027445217342728,1461880800,1477692000,40,91
7341921,14399628,39.92849930683267,3.1422503435949971,0,0,20,365
5179180,26787725,39.917329385056426,3.0506993108937976,0,0,2,0
2963502,15123084,39.853807719046102,3.0478130994055981,1405980000,1477000800,1,216
9963279,51198377,39.899628405540845,3.0224788135601335,1463176800,1463176800,1,0
15076249,24853358,39.887142797863504,3.0156811285089127,0,0,41,59
10783633,13894653,39.904604513138679,3.079605155916965,1458774000,1487372400,22,176
17599369,119599403,39.878812699676963,3.0171728128378521,0,0,1,135
16341953,92932776,39.900685740150955,3.0326394740999754,0,0,15,215
3640190,8778765,39.912380305692658,3.0864621182581886,0,0,9,337
8620895,23174919,39.873142399475419,3.0707071354433464,1458601200,1479769200,6,236
1805125,4938655,39.903200970487696,3.0801855455932339,0,0,10,365
17533753,40506914,39.890532858056581,3.023144250221109,0,0,8,285
1575710,8377027,39.893447362643798,3.0472154686145765,1379196000,1477519200,1,148
17599232,66176030,39.861567678427157,3.0675426668630608,0,0,9,194
5311220,3533438,39.88258542620008,3.0276654340528952,0,0,56,238
13241054,71611818,39.897135855578497,3.0484478132389303,1470434400,1476482400,30,256
14584528,3625030,39.899655008943526,3.0780669737806314,1471989600,1477432800,752,108
15862463,5889880,39.876854811704249,3.0113026508547565,0,0,13,307
14813869,56582306,39.898435098625676,3.0770953321097427,0,0,12,188
5960931,29669331,39.863469352167272,2.9594534649786901,1477173600,1477173600,16,322
17599033,119595865,39.879791047589222,3.0084122558459883,0,0,1,125
12978652,5582299,39.887826671375286,3.0144643873997907,0,0,12,365
17657839,3134013,39.881094655283682,3.0151542996745877,0,0,1,283
5343603,15414680,39.851993381720966,3.04770890447708,1438639200,1474754400,6,344
11256205,6370750,39.907527186107984,3.0793850683396977,1463176800,1475359200,1,363
16713392,106690357,39.912454482203614,3.0948450120999902,0,0,36,182
16713391,106690357,39.913919134644779,3.0954029431280774,0,0,36,157
16713380,106690357,39.913024245313075,3.0953848351918283,0,0,36,184
16713376,106690357,39.912612133058225,3.0929836890189293,0,0,36,148
16360309,65697804,39.882464180422552,3.0354567495555997,0,0,84,86
16713366,106690357,39.912670163840474,3.0930840152456085,0,0,36,166
16713348,106690357,39.910908854494423,3.090116867024856,0,0,36,180
9176710,21431038,39.910344987563683,3.0881658733303414,1459461600,1478041200,13,227
16713338,106690357,39.911074969832953,3.0913808966045884,0,0,36,161
16713300,106690357,39.90166892052293,3.0773797235260134,0,0,36,176
16713307,106690357,39.911383249513001,3.0839796501075614,0,0,36,137
16713301,106690357,39.911661396329549,3.0840085426297867,0,0,36,180
16713280,106690357,39.903674154020869,3.079640362917488,0,0,36,113
16713278,106690357,39.912799654145843,3.0846839022408186,0,0,36,157
16713270,106690357,39.890288880494495,3.0782669671149474,0,0,36,166
3933737,10188062,39.866402197142392,3.0057142882767423,1478300400,1478300400,128,54
10159562,5859471,39.881672140908492,3.01280482927445,1460325600,1475272800,11,81
13651922,79275354,39.890341805774113,3.0498944094704883,1468274400,1488668400,1,312
11273571,27510828,39.897655202721424,3.0780856744857861,1460584800,1474322400,6,323
15336785,95987411,39.907592679246392,3.0838056725440763,1477692000,1477692000,38,311
11470165,27572857,39.851498089747295,2.9454840716944988,0,0,6,227
10716480,10188062,39.898033909814977,3.0276766975796656,0,0,128,72
