listing_id,date
12928552,2016-07-18
12928552,2016-07-29
12928552,2016-08-03
12928552,2016-08-16
12928552,2016-09-17
12928552,2016-09-27
12928552,2016-10-07
12928552,2016-10-10
12928552,2016-11-02
12928552,2016-12-01
2537860,2014-08-17
2537860,2014-08-18
2537860,2014-09-05
2537860,2014-09-07
2537860,2015-05-23
5307001,2015-04-20
5307001,2015-05-09
5307001,2015-05-23
5307001,2015-05-26
5307001,2015-06-10
5307001,2015-06-28
5307001,2015-07-07
5307001,2015-07-15
5307001,2015-07-28
5307001,2015-08-02
5307001,2015-08-07
5307001,2015-08-21
5307001,2015-08-31
5307001,2015-09-09
5307001,2015-09-14
5307001,2015-09-18
5307001,2015-09-22
5307001,2015-10-04
5307001,2015-10-21
5307001,2016-03-17
5307001,2016-04-02
5307001,2016-05-05
5307001,2016-05-30
5307001,2016-06-08
5307001,2016-06-13
5307001,2016-07-02
5307001,2016-07-13
5307001,2016-07-16
5307001,2016-07-24
5307001,2016-08-04
5307001,2016-08-13
5307001,2016-08-16
5307001,2016-08-20
5307001,2016-08-28
5307001,2016-09-05
5307001,2016-09-14
5307001,2016-10-11
5307001,2016-10-18
5307001,2017-03-01
1576307,2014-08-11
1576307,2014-09-09
1576307,2015-07-27
1576307,2016-08-01
2277861,2015-04-14
2277861,2015-07-13
2277861,2016-06-23
5803153,2015-06-22
5803153,2016-04-26
724202,2013-05-13
724202,2013-05-26
724202,2013-06-18
724202,2013-08-01
724202,2013-08-14
724202,2013-08-24
724202,2013-09-06
724202,2013-09-16
724202,2013-09-27
724202,2014-04-25
724202,2014-05-02
724202,2014-05-05
724202,2014-05-28
724202,2014-06-17
724202,2014-06-28
724202,2014-07-20
724202,2014-08-16
724202,2014-08-27
724202,2014-09-11
724202,2014-10-15
724202,2014-11-03
724202,2015-06-17
724202,2015-07-06
724202,2015-08-01
724202,2015-09-03
724202,2015-09-19
724202,2015-09-27
724202,2016-03-26
724202,2016-03-30
724202,2016-04-05
724202,2016-05-07
724202,2016-05-31
724202,2016-06-21
724202,2016-07-04
724202,2016-07-15
724202,2016-08-02
724202,2016-08-28
724202,2016-09-04
724202,2016-09-13
724202,2016-09-29
724202,2016-10-16
12018470,2016-05-22
12018470,2016-07-10
7786814,2015-08-22
7786814,2015-09-06
7786814,2015-09-17
7786814,2015-09-24
7786814,2015-11-08
7786814,2016-03-18
7786814,2016-04-12
7786814,2016-04-27
